iter	Passed	Remaining
0	160	160054
1	164	82111
2	167	55516
3	170	42538
4	174	34664
5	176	29311
6	179	25522
7	182	22578
8	184	20289
9	186	18474
10	188	16929
11	190	15658
12	191	14571
13	193	13659
14	194	12804
15	196	12097
16	198	11484
17	200	10953
18	202	10464
19	204	10017
20	206	9619
21	208	9259
22	210	8933
23	211	8605
24	213	8330
25	215	8076
26	217	7835
27	219	7609
28	221	7406
29	222	7209
30	224	7006
31	225	6828
32	227	6669
33	229	6522
34	231	6379
35	233	6244
36	234	6097
37	236	5982
38	238	5869
39	239	5744
40	241	5638
41	242	5541
42	244	5448
43	246	5360
44	248	5274
45	249	5178
46	251	5099
47	253	5029
48	255	4960
49	257	4892
50	259	4825
51	261	4760
52	262	4696
53	264	4641
54	267	4588
55	269	4544
56	272	4500
57	273	4440
58	275	4392
59	277	4347
60	279	4303
61	281	4254
62	283	4212
63	285	4173
64	287	4133
65	289	4092
66	291	4052
67	293	4016
68	295	3981
69	296	3944
70	298	3902
71	299	3863
72	301	3828
73	303	3795
74	305	3762
75	306	3728
76	308	3696
77	310	3667
78	311	3636
79	313	3607
80	315	3579
81	317	3551
82	319	3525
83	321	3503
84	323	3479
85	325	3455
86	326	3431
87	328	3405
88	330	3380
89	332	3358
90	334	3336
91	335	3314
92	337	3291
93	339	3268
94	340	3246
95	342	3228
96	344	3210
97	347	3195
98	349	3178
99	351	3159
100	353	3144
101	355	3127
102	357	3111
103	359	3097
104	361	3080
105	363	3064
106	365	3049
107	367	3034
108	369	3022
109	371	3002
110	373	2991
111	376	2984
112	378	2972
113	380	2959
114	382	2946
115	385	2937
116	387	2926
117	390	2917
118	392	2907
119	395	2898
120	397	2885
121	399	2875
122	401	2865
123	404	2855
124	406	2847
125	409	2838
126	411	2826
127	412	2812
128	415	2802
129	416	2789
130	419	2780
131	421	2773
132	424	2765
133	426	2758
134	429	2750
135	431	2741
136	433	2730
137	435	2721
138	437	2711
139	439	2701
140	441	2692
141	444	2683
142	446	2673
143	448	2665
144	450	2656
145	452	2646
146	454	2635
147	456	2627
148	458	2618
149	460	2610
150	462	2601
151	465	2594
152	467	2587
153	469	2577
154	471	2568
155	472	2558
156	474	2549
157	477	2542
158	479	2534
159	481	2526
160	483	2520
161	485	2512
162	487	2502
163	489	2494
164	491	2484
165	493	2477
166	495	2469
167	497	2461
168	499	2454
169	500	2444
170	502	2435
171	504	2426
172	505	2418
173	507	2409
174	509	2399
175	510	2391
176	512	2383
177	514	2375
178	516	2369
179	518	2361
180	520	2354
181	522	2346
182	524	2339
183	525	2329
184	527	2322
185	528	2314
186	530	2308
187	532	2300
188	534	2293
189	536	2286
190	537	2277
191	539	2269
192	540	2260
193	542	2254
194	544	2247
195	545	2238
196	547	2232
197	549	2223
198	550	2216
199	552	2210
200	554	2203
201	556	2196
202	557	2190
203	560	2186
204	562	2182
205	564	2175
206	566	2168
207	567	2162
208	569	2155
209	571	2148
